index,date,location
0,16 May 1991,"Royal Concert Hall, Glasgow (called because of sore throat)"
1,18 Jun 1991,"Austin, Texas 	Coliseum (Michael T writes: ""He cancelled it while we were all waiting in line to get in."")"
2,22 Jun 1991,"Nashville, TN 	Starwood"
3,30 Jun 1991,"Pittsburgh, PA 	I.C. Light Amphitheater"
4,13 Sep 1991,"Venue Hordern Pavilion, Sydney"
5,14 Sep 1991,"Festival Hall, Melbourne"
6,19 Sep 1991,"Perth Concert Hall, Perth"
7,17 Sep 1991,"Thebarton Theatre, Adelaide"
8,01 Nov 1991,"Westwood, California - UCLA Pauley Pavilion (cancelled after 9 songs due to injured fans)"
9,12 Nov 1991,Worcester 	Worcester Centrum
10,13 Nov 1991,Albany 	Venue was never announced
11,15 Nov 1991,"New York City, 	Palace Theater"
12,16 Nov 1991,Philadelphia 	Spectrum (arena)
13,17 Nov 1991,"Washington, D.C. 	Patriot Center"
14,19 Nov 1991,Williamsburg 	College of William & Mary
15,20 Nov 1991,Chapel Hill 	Dean Smith Center
16,22 Nov 1991,Birmingham 	Alabama Theatre
17,23 Nov 1991,New Orleans 	University of New Orleans
18,25 Nov 1991,Lakeland 	Lakeland Civic Center
19,26 Nov 1991,Miami 	Venue was never announced
20,27 Jun 1992,"Glastonbury Festival, England"
21,08 Aug 1992,"Madstock - London, England 	Finsbury Park (show cut short after crowd got rowdy when Morrissey wrapped the Union Jack flag around his body)"
22,09 Aug 1992,"Madstock - London, England 	Finsbury Park (Morrissey cancelled his second Madstock appearance)"
23,08 Apr 1994,"Olympic Auditorium, Los Angeles (details: articles.latimes.com )"
24,11 Apr 1994,"Carnegie Hall, New York (details: nytimes.com )"
25,12 Apr 1994,"Carnegie Hall, New York"
26,19 Sep 1994,"Carnegie Hall, New York (rescheduled date)"
27,20 Sep 1994,"Carnegie Hall, New York (rescheduled date)"
28,29 Sep 1994,"Olympic Auditorium, Los Angeles (rescheduled date)"
29,23 Nov 1995,"King's Hall, Belfast, Northern Ireland"
30,29 Nov 1995,Aberdeen Exhibition Centre
31,30 Nov 1995,Glasgow 	Scottish Exhibition and Conference (with David Bowie)
32,03 Dec 1995,Sheffield  England Sheffield Arena
33,04 Dec 1995,Sheffield Arena
34,05 Dec 1995,Belfast  Northern Ireland King's Hall
35,06 Dec 1995,Manchester 	England  Manchester Arena
36,07 Dec 1995,Newcastle upon Tyne 	Newcastle Arena
37,08 Dec 1995,Manchester 	Manchester Arena
38,13 Dec 1995,Birmingham 	National Exhibition Centre (Hall 5)
39,17 Jan 1996,"Helsinki 	Finland 	Helsinki Ice Hall (with David Bowie, continued)"
40,19 Jan 1996,Stockholm 	Sweden 	Globe Arena
41,20 Jan 1996,Gothenburg 	Scandinavium
42,22 Jan 1996,Oslo 	Norway 	Spektrum
43,24 Jan 1996,Copenhagen 	Denmark 	Valby-Hallen
44,25 Jan 1996,Hamburg 	Germany 	Sporthalle
45,27 Jan 1996,Brussels 	Belgium 	Vorst Forest Nationaal
